year,summer_mean_daily_tmax,days,source,notes
2013,30.13,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
2014,28.57,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
2015,31.45,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
2016,30.43,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
2017,32.76,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
2018,31.44,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
2019,32.51,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
2020,30.96,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
2021,32.11,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
2022,33.13,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
2023,32.26,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
2024,32.26,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
2025,32.39,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
