year,summer_mean_daily_tmax,days,source,notes
1961,29.81,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1962,30.10,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1963,29.47,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1964,30.07,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1965,29.06,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1966,28.83,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1967,28.99,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1968,27.32,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1969,28.00,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1970,28.54,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1971,29.61,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1972,28.02,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1973,29.30,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1974,29.41,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1975,28.71,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1976,28.04,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1977,28.00,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1978,27.90,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1979,28.82,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1980,28.51,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1981,28.72,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1982,30.08,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1983,30.20,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1984,28.98,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1985,29.71,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1986,28.99,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1987,29.68,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1988,30.22,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1989,28.76,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1990,29.96,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1991,30.48,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1992,29.84,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1993,30.67,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1994,31.36,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1995,28.83,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1996,29.26,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
1997,30.11,92,ARPAE Eraclito61 central ERG5 cell 01421,"June-August mean of DAILY_TMAX, daily maximum air temperature"
