year,summer_mean_air_temperature,days,source,notes
2013,24.34,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
2014,23.10,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
2015,25.45,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
2016,24.33,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
2017,26.20,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
2018,24.91,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
2019,25.84,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
2020,24.50,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
2021,25.55,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
2022,26.61,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
2023,25.60,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
2024,26.05,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
2025,25.82,92,ARPAE ERG5 Tmean comunale,media giugno-luglio-agosto
